페이지	키워드	제목	NEWS_URL | MEDIA_URL
226	유로 2016	[유로2016 이탈리아 2-0 벨기에]‘쐐기골’ 펠레 “스트라이커 역할해 기쁘다”	아주리군단 이탈리아가 노련미로  ‘죽음의 조’ 첫 관문을 넘었다. ‘난적’ 벨기에를 격파하며 기분좋게 승점 3을 챙겼다. 이탈리아는 14일(한국시간) 프랑스 리옹의 스타드 드 리옹에서 열린 벨기에와...
226	유로 2016	유로 2016 조별리그서 맞붙는 스페인-체코… 승자는?	(사진=AP/연합뉴스) '디펜딩 챔피언' 스페인과 '동유럽 강호' 체코가 13일  조별리그에서 맞붙는다. 스페인과 체코는 13일 오후 10시(한국시간) 프랑스 무니시팔 스타디움에서 조별리그 D조 1차전에서...
226	유로 2016	iMBC, '유로2016'도 온라인 생중계! 유럽의 축구를 손 안에서 즐긴다!	iMBC가 11일(토) 새벽 4시(한국시간) 프랑스에서 열리는 개막전을 시작으로 한 달간 ''을 MBC 중계 퀄리티 그대로 PC-'iMBC 스포츠 온에어'와 모바일-'해요TV'를 통해 온라인으로 생중계한다. '유로'는 축구의...
226	유로 2016	현대기아차, '유로2016' 대회에 투싼 등 차량 후원	30일(현지시간) 프랑스 생드니 경기장에서 열린 유럽축구선수권대회 '' 후원 공식차량 전달식에서 현대기아차 임원들과 유럽축구연맹 관계자들이 기념촬영을 하고 있다. [ 현대기아차는 30일(현지시간) 프랑스...
226	유로 2016	'다함께 유로 2016 볼까?'	(리옹<프랑스> EPA=연합뉴스) 6일(현지시간) 프랑스 리옹의 벨쿠르 광장에서 시민들이 2016 유럽축구선수권대회()를 나타내는 전시물 앞에 둘러 앉아 휴식을 취하고 있다. 은 오는 10일...
226	유로 2016	[종합]유로 2016 테러 공격 계획한 극우 佛 남성 체포돼	테러 공격 용의자, IS 등 무슬림에서 극우로 확대 프랑스 정부의 이민정책에 원한을 품은 한 프랑스 남성이 프랑스에서 열리는 유럽 챔피언스 리그 대회() 경기장과 관중들을 공격하기 위해 많은 무기들을 갖고...
226	유로 2016	[유로 스타] '2연속 FK골' 베일, 패배에도 빛난 '슈퍼스타'	웨일스는 16일 오후 10시(한국시간) 프랑스 랑스에 위치한 스타드 펠릭스 볼라르트에서 열린 UEFA(유럽축구연맹)  B조 조별리그 2차전에서 잉글랜드와의 경기에서 베일이 환상적인 프리킥 선제골을 터트렸지만...
226	유로 2016	[EPL]"즐라탄, 유로 개막 전 맨유와 사인" <英 언론>	이 매체는 "이브라히모비치와 맨유가 이 개막하기 전에 계약을 마무리 할 것"이라는 구체적인 내용까지 곁들였다. 올 시즌을 끝으로 파리 생제르망(PSG)과의 계약이 만료된 이브라히모비치는 차기 행선지를...
226	유로 2016	윤곽 드러난 유로2016 출전국 면면, 표정은 '각양각색'	AFPBBNews = News1 은 진정한 '미니월드컵'이다. 이번 대회는 프랑스에서 오는 10일(이하 한국시각)부터 7월 10일까지 한 달간 펼쳐진다. 개최국 숫자가 기존 16개국에서 24개국으로 늘어났다. 개최국 확대 당시...
227	유로 2016	'유로 무산' 로이스, 부상으로 6개월 아웃(독일 빌트)	치골염으로 인해  출전이 좌절된 독일 대표팀의 에이스 마르코 로이스(27, 도르트문트)가 최대 6개월간 경기에 출전할 수 없을 것으로 보인다. 불운의 에이스다. 로이스는 지난 2014 월드컵에서도 최고의 경기력을...
227	유로 2016	[유로 2016] '즐라탄 선발' 스웨덴, 이탈리아전 선발 명단 공개	이탈리아와 스웨덴은 17일 새벽 4시(한국시간) 프랑스 스타디 무니시팔에서  조별리그 E조 2차전을 펼친다. 스웨덴은 4-4-2 포메이션을 꺼내들었다. 최전방에는 즐라탄과 욘 구이데티가 낙점되었다. 에밀...
227	유로 2016	골드만삭스 “유로 2016서 개최국 프랑스가 우승할 것”	글로벌 투자은행(IB) 골드만삭스가 에서 개최국 프랑스가 우승할 것이라고 예측했다. 골드만삭스는 10일 ‘2016 유럽선수권대회’() 각국 성적 예측 보고서를 발표했다. 이 보고서에 따르면 프랑스는...
227	유로 2016	우크라 "유로 2016 맞춰 테러 기획하던 프랑스인 1명 체포"	러시아 RBK 통신 등에 따르면 바실리 그리착 우크라이나 보안국장은 브리핑에서 이같이 밝히면서 "이번 작전으로 에 맞춰 기획됐던 테러 15건을 사전 예방할 수 있었다"고 주장했습니다. 우크라이나 보안국에...
227	유로 2016	[유로 MVP] 슬로바키아 살린 에이스, 함시크	슬로바키아는 한국 시각으로 저녁 10시 프랑스 릴 스타드 모루아에서 벌어진 러시아와의 ‘’ B조 2차전에서 2-1로 이겼다. 1승 1패가 된 슬로바키아는 16강에 조금 더 다가섰다. 이날 경기는 함시크로...
227	유로 2016	[유로 2016]'함식 1골 1도움' 슬로바키아, 러시아에 2-1 승	슬로바키아는 프랑스 뵐뇌브다스크에 위치한 스타드 피에르 모우라에서 열린  B조 조별리그 2차전 러시아와의 경기에서 2-1로 승리했다. 이날 승리로 슬로바키아는 1승 1패 승점 3점으로 16강 진출 가능성을...
227	유로 2016	[SQ분석] 유로2016 첫 라운드 판도, 극강 지배 실종된 예열-절대 약체 사라진 미풍	[스포츠Q(큐) 박상현 기자] 2016 유럽축구선수권 의 조별리그 첫 라운드가 끝났다. 일부 언더독의 선전이 있긴 했지만 조별리그 1라운드 12경기는 일단 이변없이 끝났다. 스페인과 독일, 프랑스 등  우승...
227	유로 2016	터키항공 “기내·라운지에서 유로2016 생중계 보세요”	터키항공은 10일(현지시간)부터 보잉 777·에어버스 A330 등 국제선 대형 여객기 기내와 터키 내 전 공항 라운지에서 ‘’ 경기를 생중계한다고 10일 밝혔다. 은 유럽축구연맹 주관으로 4년에 한번씩...
227	유로 2016	[유로 가이드] ⓕ조 :: 포르투갈과 호날두의 과제...유로 2004 '한(恨)풀기'	치열한 지역예선을 끝으로, ’작은 월드컵’이라 불리는 에 참가할 24개팀이 정해졌다. 대회를 즐기기 위한 지침서는 준비됐다. 스포탈코리아에서 야심차게 준비한 ‘유로 가이드’를 보며, 유럽 최고의 ‘축구...
227	유로 2016	[유로2016] 개막식·야유·벤제마…세 가지 부담을 이겨낸 지루	내가 선제골 요리사…11일 루마니아와의  대회 첫 골을 성공하고 기뻐하는 올리비에 지루(사진 오른쪽). 사진(프랑스 파리)=AFPBBNews=News1 전반 추가시간 위협적인 헤더로 골문을 두드렸고, 후반 13분 그 문을...
228	유로 2016	[유로 개막③] '무적함대' 3연패 막아라…독일-프랑스 '야심’	스페인은 11일 개막하는 유럽축구연맹(UEFA) 의 우승 후보로 꼽히고 있다.  News1 안은나 기자 FIFA 월드컵 보다 치열하다고 이야기되는 2016 유럽축구선수권대회() 개막이 하루 앞으로 다가왔다. 최근...
228	유로 2016	[유로 시선집중] '웰컴 백 호날두' 완전체가 된 포르투갈	이로써 포르투갈은 의 마지막 모의고사를 기분 좋게 마칠 수 있었다. 아이슬란드, 오스트리아, 헝가리 등 복병팀이 즐비한 조에 포함된 포르투갈은 이 경기를 통해 이변을 허용하지 않겠다는 의지 역시 강하게...
228	유로 2016	[유로2016 핫&쿨] 잉글랜드-슬로바키아전 얼마나 지루했으면, UEFA 부회장도 '꾸벅꾸벅'	영국 일간지 미러는 21일(한국시간) "비야르 부회장이 잉글랜드-슬로바키아의 유럽축구선수권  경기 도중 졸았다. 옆에 앉아 있던 영국 윌리엄 왕자도 지루한 표정을 지었다"고 사진과 함께 보도했다. 비야르...
228	유로 2016	‘유로2016’ 프랑스 데샹 감독 “알바니아, 수비 훌륭했다”	프랑스 대표팀을 이끄는 디디에 데샹 감독이 상대팀 알바니아 수비를 호평했다. 프랑스는 16일(한국시간) 프랑스 마르세유의 스타드 벨로드롬에서 열린 알바니아와의 대회 A조 조별리그 2차전에서 앙투안 그리즈만...
228	유로 2016	[유로2016] 독일, 우크라이나 2-0 격파하고 통산 4회 우승 향해 전진	스페인과 함께 유럽축구선수권대회 최다 우승국(3회)인 독일이 우크라이나를 꺾고  첫 승을 기록했다. 독일은 13일 새벽 4시(한국시간) 프랑스 릴의 스타드 피에르 모루아에서 열린  조별리그 C조...
228	유로 2016	[유로 리뷰] '모드리치 결승골' 크로아티아, 터키에 1-0 승...D조 선두	크로아티아는 12일 오후 10시(한국시간) 프랑스 파리에 위치한 파르크 데 프랑스에서 열린 터키와의  D조 조별리그 1차전 경기서 1-0으로 승리했다. 이로써 크로아티아는 승점 3점을 획득하며 가장 먼저 D조 선두...
228	유로 2016	'모드리치 발리슛' 크로아티아, 터키에 1-0 승리...'유로 2016 16강 청신호'	'모드리치 발리슛' 크로아티아, 터키에 1-0 승리...' 16강 청신호' 크로아티아가 루카 모드리치의 결승골에 힘입어 터키에 1-0으로 승리를 거뒀다. 크로아티아는 12일 밤(한국시간) 파르크 데 프랑스에서...
228	유로 2016	스페인, 유로2016 최종명단 발표	스페인축구협회 [스포츠한국 김명석 기자] 2016 유럽축구연맹(UEFA) 유럽선수권대회(이하 )에 나설 스페인 축구대표팀의 최종 명단이 확정됐다. 스페인 축구협회는 1일(이하 한국시각) 공식 홈페이지 등을...
228	유로 2016	놀리토, “지금은 유로가 우선, 맨시티행 고민은 나중에”	(베스트 일레븐) 한창 을 치르고 있는 스페인의 공격수 놀리토가 지금은 잉글랜드 프리미어리그(EPL) 맨체스터 시티의 관심에 신경 쓸 때가 아니라고 말했다. 영국 지역지 <맨체스터 이브닝 뉴스>는 16일(이하...
228	유로 2016	'믹긴 쐐기골' 북아일랜드, 우크라이나에 2-0...유로 사상 첫 승리	북아일랜드가 우크라이나에 승리를 거두며 두마리 토끼를 모두 잡았다. 북아일랜드는 17일 오전(한국시간) 프랑스 스타드 데 뤼미에르에서 열린 우크라이나와의  조별리그 C조 2라운드에서 2-0으로...
229	유로 2016	[유로 종합 프리뷰] 터키vs크로아티아, 죽음의 D조 판도 결정...복병만난 독일	그 이유는 유럽의 월드컵 ''이 프랑스에서 열리기 때문이다. 그래서 준비했다. 축구 전문 언론 '인터풋볼'이 을 더욱 알차게 즐기기 위해 매일 오후 알찬 유로 종합 프리뷰를 제공한다. 이제 '별들의 축제...
229	유로 2016	[그래픽] 유로 2016 경기 일정 카렌다	편집=정재호 [국민일보 페이스북 바로가기] [국민일보 홈페이지 바로가기] GoodNews paper  국민일보(www.kmib.co.kr), [뉴스 미란다 원칙] 취재원과 독자에게는 국민일보에 자이 접근할 권리와 반론...
229	유로 2016	랭킹은 숫자에 불과? 이탈리아, '유럽 1위' 벨기에 꺾고 유로2016 첫승	이탈리아는 14일(한국시간) 프랑스 리옹 파르크 올림피크 리옹에서 벌어진 2016 유럽축구선수권() E조 1차전에서 엠마누엘 자케리니의 전반 32분 선제 결승골과 그라치아노 펠레의 후반 추가시간 쐐기골로 벨기에를...
229	유로 2016	유로2016 테러 모의자 체포, 공포에 떤 佛	AFPBBNews = News1  대회 기간 테러를 계획했던 한 프랑스인이 우크라이나-폴란드 국경에서 체포됐다고 영국 BBC 등 유럽 언론이 6일(한국시각) 일제히 전했다. 프랑스 국적 남성으로 알려진 용의자는 오는...
229	유로 2016	효성, '유로사토리 2016'서 초경량 아라미드 방탄 헬멧 선봬	/ 제공 = 효성아시아투데이 최현민 기자 = 효성은 13일부터 17일까지 프랑스 파리에서 열리는 방위산업 전시회 ‘사토리 ’에 참가해 초경량 아라미드 방탄 헬멧을 선보였다고 16일 밝혔다. 사토리는 세계...
229	유로 2016	[유로 2016] 독일·폴란드 C조 첫 승...크로아티아, 모드리치 '원더골'로 터키 제압(종합)	'' C조의 독일과 폴란드가 서로 다르면서도 같은 첫 승을 거뒀다. '죽음의 조'로 꼽힌 D조 첫 경기에서는 크로아티아가 루카 모드리치의 '원더골'로 먼저 웃었다. '2014 브라질 월드컵' 챔피언 독일이 2년 만에 열린...
229	유로 2016	[유로 2016]이탈리아, 벨기에 2-0으로 잡고 산뜻한 출발	이탈리아는 14일 새벽 4시(한국시간) 프랑스 리옹의 그랑드 슈타데 데 리옹에서 열린 벨기에와의  E조 조별리그 1차전에서 에마뉴엘레 자케리니, 그라치아노 펠레의 연속골에 힘입어 벨기에에 2-0으로 승리를...
229	유로 2016	유로 2016 앞두고 마르세유에서 난투극, 잉글랜드 팬 둘 체포	프랑스와 루마니아의 유럽축구선수권대회()  개막전이 10일 오후(이하 현지시간) 파리 북부 생드니의 스타드 드 프랑스에서 킥오프되는 가운데 전날 밤과 이날 새벽 사이 남부 마르세유의 한 아이리시펍 근처에서...
229	유로 2016	[인포G] 유로에 '인구 6%'-'프로선수 23%' 참가한 나라는?	[풋볼리스트] 류청 기자= 인구 33만 명 중에 2만 명이 ''을 보러 프랑스 나들이에 나선 나라가 있다. 이 나라 프로축구선수 중에 23%는 유로에 참가했다는 이야기도 빼놓으면 안 된다. 이 '엄청난' 축구열기와...
229	유로 2016	[EURO ISSUE] 유로 2016에 가장 많은 선수를 보내는 팀은 어디?	(베스트 일레븐) 잉글랜드 프리미어리그(EPL) 리버풀과 이탈리아 세리에 A의 유벤투스가 오는 11일(이하 한국 시각)부터 프랑스에서 열릴 에 각각 12명을 보내 가장 많은 선수를 배출한 것으로 알려졌다. 특히...
230	유로 2016	[오늘의 자동차]현대·기아차, ‘유로 2016’ 공식차량 전달	‘’ 공식 후원사 현대·기아차가 대회 공식 차량을 지원하는 등 유럽 최대 스포츠 이벤트를 전폭적으로 후원한다. 현대·기아차는 30일(현지시간) 프랑스 생드니 경기장에서 현대차 유럽법인장 김형정...
230	유로 2016	[인포G] 유로에 '인구 6%'-'프로선수 23%' 참가한 나라는?	[풋볼리스트] 류청 기자= 인구 33만 명 중에 2만 명이 ''을 보러 프랑스 나들이에 나선 나라가 있다. 이 나라 프로축구선수 중에 23%는 유로에 참가했다는 이야기도 빼놓으면 안 된다. 이 '엄청난' 축구열기와...
230	유로 2016	[유로2016] ‘우크라이나전 MOM' 크로스 “독일, 우승 위해 더 영리해야”	독일은 13일(한국시간) 프랑스 릴에 위치한 스타드 피에르-모루아에서 열린  조별리그 C조 1차전에서 우크라이나에 2-0으로 이겼다. 독일은 북아일랜드를 1-0으로 꺾은 폴란드에 골득실에서 앞서며 A조 1위로...
230	유로 2016	'한국과 싸운' 스페인 vs 체코, 유로2016 충돌	게티이미지 한국의 평가전 상대였던 스페인과 체코가  조별리그 첫 경기를 갖는다. 유로 3연패에 도전하는 스페인은 13일 오후 10시(한국시간) 프랑스 스타디움 무니시팔에서 체코와 D조 1차전을 치른다....
230	유로 2016	[유로 FOCUS] 4-2-3-1의 함정에서 기어 나온 프랑스	프랑스는 '' 두 번째 경기에서 포메이션을 4-2-3-1로 바꿨다가 낭패를 볼 뻔 했다. 16일(한국시간) 프랑스 마르세유의 스타드 벨로드롬에서 A조 2차전을 가진 프랑스는 알바니아를 2-0으로 꺾고 2연승을 달렸다. 전체...
230	유로 2016	[유로 2016] '파예 1골 1도움' 프랑스, 루마니아에 2-1 승리	[] '파예 1골 1도움' 프랑스, 루마니아에 2-1 승리 개최국 프랑스가 디미트리 파예의 맹활약에 힘입어 루마니아와의 개막전에서 승리를 거뒀다. 프랑스는 11일 오전(한국시간) 스타드 드 프랑스...
230	유로 2016	[유로 리뷰] '그리즈만-파예 연속골' 프랑스, 알바니아에 2-0 신승...16강 진출	프랑스는 16일 오전 4시(한국시간) 스타드 벨로드롬에서 펼쳐진 UEFA  A조 2차전에서 알바니아와 2-0 승리를 기록했다. 이번 승리로 프랑스는 승점 6점으로 리그 1위를 유지하며, 16강 진출을 확정지었다. 4위...
230	유로 2016	MBC스포츠플러스, 유로 2016 전 경기 생중계	MBC스포츠플러스와 MBC스포츠플러스2는 6월11일(토) 새벽 4시 ‘’ <프랑스 vs 루마니아>의 개막전을 시작으로 7월 11일까지 한 달간 펼쳐지는 ‘’ 전 경기를 생중계한다. 전 세계 축구 팬들이...
230	유로 2016	[유로2016] ‘빗장수비’ 이탈리아, 피파랭킹 2위 벨기에 꺾었다	[사진=연합뉴스(AP) 제공] 에서 피파랭킹(국제축구연맹 랭킹)은 큰 의미가 없었다. 피파랭킹 12위 이탈리아가 2위 벨기에를 꺾었다. 빗장수비를 뚫지 못했다. 이탈리아는 14일 프랑스 리옹의 스타드 드 리옹에서...
230	유로 2016	파업·테러 우려에 쓰레기대란까지…유로2016 앞둔 프랑스 비상	남부 마르세유와 중부 생에티엔 등  경기가 치러지는 다른 도시에서도 비슷한 상황이 벌어지고 있습니다. 프랑스 정부가 높은 실업률을 낮춘다는 이유로 근로 시간을 연장하고 직원 해고 요건을 완화한...
231	유로 2016	[유로2016 스타특집③] 폴 포그바, 프랑스 16년 한(恨) 풀어낼 영웅	이 화려하게 막을 올린다. 개최국 프랑스는 11일 새벽 4시(한국시간) 프랑스 파리 스타드 드 프랑스에서 열리는 루마니아의 개막전을 시작으로 우승 사냥에 나선다. 중심에는 미드필더 폴 포그바가 있다....
231	유로 2016	[유로2016] ‘빗장수비’ 이탈리아, 피파랭킹 2위 벨기에 꺾었다	[사진=연합뉴스(AP) 제공] 에서 피파랭킹(국제축구연맹 랭킹)은 큰 의미가 없었다. 피파랭킹 12위 이탈리아가 2위 벨기에를 꺾었다. 빗장수비를 뚫지 못했다. 이탈리아는 14일 프랑스 리옹의 스타드 드 리옹에서...
231	유로 2016	[유로2016] 독일-우크라이나, '치열한 몸다툼'	로이터/국제뉴스 (프랑스=국제뉴스) 김준서 기자 = 12일(현지시간) 프랑스 스타드 피에르-모루아에서 열린 독일과 우크라이나와의 '' 조별리그 C조 1차전에서 독일의 마리오 괴체가 상대 예우헨 코노플랸카와...
231	유로 2016	[유로 한 바퀴] 잉글랜드-포르투갈-벨기에, 당황했던 첫 경기	[=  조별리그 3라운드 중 1라운드를 마쳤다. 기대를 모았던 강팀들 중 잉글랜드, 포르투갈, 벨기에가 첫 경기에서 삐걱거렸다. 지난 15일 오전 4시(한국시간) 포르투갈-아이슬란드의 F조 경기를 끝으로 ...
231	유로 2016	[유로 이슈] 호날두의 메이저대회 프리킥은 '모두 실패'	호날두가 속한 포르투갈 대표팀은 15일 새벽 4시(이하 한국시간) 프랑스 스테티엔에 위치한 스타드 조프루아 기샤르서 열린 아이슬란드와의 유럽축구선수권대회(이하 ) F조 1차전서 1:1로 무승부를 거두었다....
231	유로 2016	[유로2016] 독일, 우크라이나에 2-0 승리	로이터/국제뉴스 (프랑스=국제뉴스) 김준서 기자 = 12일(현지시간) 프랑스 스타드 피에르-모루아에서 열린 독일과 우크라이나와의 '' 조별리그 C조 1차전에서 독일의 시코드란 무스타피가 선제골을 넣고 있다....
231	유로 2016	[스포탈 플러스] ‘마이크로소프트’ 예측, 유로 2016 우승팀은?	[= 2016 유럽축구선수권대회(이하 ) 개막이 목전이다. 프랑스에서 개최되는 이번 대회는 오는 6월 10일(이하 현지시간)부터 7월 10일까지 약 한 달 간의 대장정이 시작된다. 많은 관심을 받는 대회답게...
231	유로 2016	[유로2016] 뢰브 이번에도 첫경기 승... 독일, 우크라이나에 2-0승 ‘역시 우승후보, 슈바인슈타이거 쐐기골	[] 뢰브 이번에도 첫경기 승... 독일, 우크라이나에 2-0승 ‘역시 우승후보. <사진= 독일 축구협회> [] 뢰브 이번에도 첫경기 승... 독일, 우크라이나에 2-0승 ‘역시 우승후보, 슈바인슈타이거 쐐기골...
231	유로 2016	'유로2016' 잉글랜드 팬, 마르세유 구도심서 난동…두 명 '체포'	[스포츠서울 이용수기자] 2016 유럽축구선수권(이하 '') 잉글랜드와 러시아의 첫 경기를 앞두고 마르세유 구도심에서 훌리건들이 난동을 일으켰다. 10일(현지시간) '스카이스포츠' 등 복수의 유럽 매체는...
231	유로 2016	즐라탄, 유로 직후 맨유 메디컬… 1년 계약(英 스카이스포츠)	영국 '스카이스포츠'는 14일 "맨유가  직후 맨체스터에서 즐라탄의 메디컬 테스트를 진행한다"고 밝혔다. '스카이스포츠'는 "유로가 시작하기 전 즐라탄 대리인과 구단 측의 협상이 길어졌다. 양 측에 시간이...
232	유로 2016	[루마니아 스위스] '스탄투 VS 샤키리' 선발 라인업(유로 2016)	[루마니아 스위스] '스탄투 VS 샤키리' 선발 라인업()루마니아와 스위스  대표팀이 선발 라인업을 공개한 가운데 보그단 스탄쿠와 세르단 샤키리가 득점 대결을 펼친다. 루마니아와 스위스는 16일 오전...
232	유로 2016	'유로 2000' 우승 주역들 "프랑스 우승 가능성 높아"	[CBS 프랑스가 낳은 축구 스타 티에리 앙리가 프랑스의  우승을 높게 점쳤다. (사진=플리커 제공)프랑스의 '2000년 유럽축구선수권대회(유로 2000)' 우승으로 이끈 멤버들이 자국에서 열리는  우승...
232	유로 2016	유로2016 포르투갈 호날두, 아이슬란드와 무승부에 “두 번째 경기부터 더 좋아질 것”	포르투갈의 인기 스타 크리스티아누 호날두가 아이슬란드와의 무승부에 대해 “두 번째 경기부터 더 좋아질 것”이라고 말했다. 호날두는 아이슬란드와의 경기 후 포르투갈 언론과의 인터뷰에서 “결과는...
232	유로 2016	[유로 2016]프랑스, 알바니아전 선발 라인업 공개… 지루·마샬·파예 출격	알바니아와 2차전을 치르는 프랑스 선수들이 지난  A조 조별리그 1차전 루마니아와의 경기에서 파예의 두 번째 골이 터진 뒤 모여서 환호하고 있다. /AP=연합뉴스  프랑스 알바니아 선발 라인업이...
232	유로 2016	유로 2016 개막, 득점왕 향방은?… 호날두·뮐러·즐라탄 등 경쟁	호날두 즐라탄 뮐러 득점왕 경쟁. /AP=연합뉴스 2016 유럽선수권대회()가 11일 오전(한국시간) 개막하는 가운데 골든 부츠(득점왕)를 누가 차지할 지 관심이 쏠리고 있다. 역대 최다골은 1984년 프랑스...
232	유로 2016	유로 2016 개막 앞두고 2억원 규모 ‘짝퉁’ 유니폼 적발	2016 유럽축구선수권대회()개막을 앞두고 개최지인 프랑스 세관이 15만 유로(약 2억원) 규모의 위조된 스페인 축구대표팀 유니폼과 티셔츠를 적발해 압수했다. 7일(한국시간) AFP 통신은 프랑스 케르크 세관이...
232	유로 2016	현대·기아차 ‘유로 2016’ 공식 차량으로 활약한다	승용·승합차 총 875대 지원 ‘’ 공식 후원사인 현대ㆍ기아차가 대회 공식 차량으로 870여대를 대거 지원하는 등 유럽 최대 스포츠 이벤트에 전폭적인 지원을 제공한다. 현대ㆍ기아차는 30일(현지시간)...
232	유로 2016	'유로2016'독일-우크라이나, 뮐러-외질 '해맑은 미소로 컨디션UP'	독일은 13일(한국시간) 프랑스 릴에 위치한 스타드 피에르 모루아에서 열린 '' C조 조별리그 1차전 우크라이나와의 경기에서 무스타피와 슈바인슈타이거의 골에 힘입어 2-0으로 승리했다. 이와 함께...
232	유로 2016	유로 2016 개막…스페인 3연패냐, 독일-프랑스의 저지냐	월드컵 이상의 높은 수준을 자랑하는 2016 유럽축구선수권대회()가 시작된다. 스페인의 3연속 우승 도전과 이에 맞서는 이탈리아, 잉글랜드, 독일 등 주요 강호의 성적이 큰 관심을 모은다. 은 오는 11일...
232	유로 2016	[유로 2016] 잉글랜드, 웨일스에 2-1 역전승…"스터리지 활약"	잉글랜드 1승1무로 선두…웨일스 베일, 2경기 연속골 잉글랜드의 대니얼 스터리지가 16일(한국시간) 프랑스 랑스의 스타드 볼라르트 델레이스에서 열린 웨일스와의 ‘유럽축구연맹(UEFA) ’ 조별리그 B조...
233	유로 2016	프랑스 세관, 유로 2016 앞두고 '짝퉁' 스페인 유니폼 적발	2016 유럽축구선수권대회() 개막을 앞두고 개최지인 프랑스 세관이 15만 유로(약 2억 원) 규모의 '짝퉁' 스페인 축구대표팀 유니폼과 티셔츠를 적발했습니다. AFP 통신에 따르면 프랑스 케르크 세관은 유로터널...
233	유로 2016	[유로 2016] 잉글랜드, 웨일스에 2-1 역전승…"스터리지 활약"	잉글랜드 1승1무로 선두…웨일스 베일, 2경기 연속골 잉글랜드의 대니얼 스터리지가 16일(한국시간) 프랑스 랑스의 스타드 볼라르트 델레이스에서 열린 웨일스와의 ‘유럽축구연맹(UEFA) ’ 조별리그 B조...
233	유로 2016	캉테, "내 미래는 유로 2016 이후 정한다"	[= 레스터 시티의 드라마 같은 우승 주역 중 하나인 은골로 캉테(25)가  집중으로 끊임없는 이적설에 선을 그었다. 캉테는 6일(현지시간) 영국 지역 매체 ‘런던 이브닝 스탠다드’와의 인터뷰에서 “나는 현재...
233	유로 2016	[유로 2016]러시아 슬로바키아 선발 라인업 공개… '주바 vs 함식'	러시아의 바실리 베레주츠키가 잉글랜드와의  조별리그 1차전에서 골을 넣은 뒤 코코린 등 동료들과 환호하고 있다. /AP=연합뉴스  러시아 슬로바키아 선발 라인업이 공개됐다. 러시아와 슬로바키아는...
233	유로 2016	테러 위협 속 '유로 2016' 개막…프랑스 개막전 승리	【앵커멘트】 월드컵에 버금가는 또 하나의 축구대전 이 테러위협에도 성공적으로 개막됐습니다. 개막전에 나선 프랑스는 루마니아에 극적인 결승골을 성공시키며 우승 예감을 키웠습니다. 이무섭 기자입니다....
233	유로 2016	‘유로 2016’ 러시아-슬로바키아 격돌…도핑 표적 불만	MBC 중계방송 캡처 에 출전 중인 러시아 축구대표팀이 도핑검사의 표적이 되고 있다며 불만을 토해냈다. 에두아르드 베주글로프 러시아 대표팀 주치의는 14일(한국시각) AP통신과의 인터뷰에서 “이번...
233	유로 2016	[유로 프리뷰] 벨기에 vs 아일랜드, 16강의 꿈을 향해	양팀은 18일(한국시각) 프랑스 보르도에 위치한 스타드 드 보르도에서 ‘’ 조별리그 E조 2차전 경기를 가진다. 하루 앞서 펼쳐진 경기에서 이탈리아가 스웨덴을 꺾고 2승을 차지해 최소 조 2위를 확보했다....
233	유로 2016	훌리건 폭력으로 얼룩진 유로 2016…프랑스 경찰 강제진압	테러 우려에 어렵사리 막 오른 이 또다시 훌리건 폭력에 얼룩지고 있습니다. 연합뉴스TV 김보나입니다. 연합뉴스TV : 02-398-4409(제보) 4441(기사문의), 카톡/라인 jebo23 (끝) <저작권자(c) 연합뉴스, 무단 전재-재배포...
233	유로 2016	[포토]펠라이니 '깜짝 금발' 변신, 유로2016 금빛 각오	사진출처=마루앙 펠라이니 인스타그램 '벨기에 미드필더' 마루앙 펠라이니(맨유)가  개막을 앞두고 금발로 변신했다. 펠라이니는 6일(한국시각) 자신의 인스타그램에 금발 염색 사진을 올렸다. 프랑스...
233	유로 2016	[유로 개막④] 프랑스로 모인 유럽 최고의 올드보이 & 라이징스타	AFP=News1 2016 유럽축구선수권대회()는 세계적인 스타들의 경쟁 무대다. 비록 출전하는 선수들이 유럽 출신으로 한정됐지만 이들의 수도 적지 않다. 프랑스에서 개최되는 이번 에는 총 552명이 자신의...
234	유로 2016	골드만삭스, "유로 2016 프랑스 우승확률 높아" 10만번 시뮬레이션 결과	/AP=연합뉴스 글로벌 투자은행 골드만삭스가 의 강력한 우승 후보로 개최국인 프랑스를 꼽았다. 골드만삭스가 10일 발표한 '2016 유럽선수권대회'() 각국 성적 예측 보고서에 따르면 프랑스의...
234	유로 2016	[유로2016]스터리지 꺾기 춤? 잉글랜드-웨일즈전 결승골 폭발에 흥분	잉글랜드는 16일(한국시각) 프랑스 스타드 펠릭스 볼라르트에서 열린 웨일스와의 '' B조 조별예선 2차전에서 2-1 역전승을 거뒀다. 잉글랜드는 전반 41분 가레스 베일에 선제골을 얻어맞았지만, 후반 10분 제이미...
234	유로 2016	[유로 프리뷰] 벨기에 vs 아일랜드, 16강의 꿈을 향해	양팀은 18일(한국시각) 프랑스 보르도에 위치한 스타드 드 보르도에서 ‘’ 조별리그 E조 2차전 경기를 가진다. 하루 앞서 펼쳐진 경기에서 이탈리아가 스웨덴을 꺾고 2승을 차지해 최소 조 2위를 확보했다....
